iter	Passed	Remaining
455	987	1177
456	988	1173
457	988	1170
458	989	1166
459	990	1162
460	990	1158
461	992	1155
462	993	1152
463	994	1148
464	994	1144
465	995	1140
466	996	1137
467	997	1133
468	997	1129
469	998	1126
470	999	1122
471	999	1118
472	1001	1116
473	1002	1112
474	1003	1109
475	1004	1105
476	1005	1102
477	1006	1098
478	1007	1095
479	1008	1092
480	1008	1088
481	1009	1084
482	1010	1081
483	1011	1077
484	1011	1074
485	1012	1070
486	1013	1067
487	1013	1063
488	1014	1060
489	1016	1058
490	1018	1055
491	1018	1051
492	1019	1048
493	1020	1045
494	1020	1041
495	1021	1038
496	1022	1034
497	1022	1031
498	1023	1027
499	1024	1024
500	1024	1020
501	1025	1017
502	1026	1013
503	1026	1010
504	1027	1007
505	1028	1003
506	1028	1000
507	1029	997
508	1032	995
509	1032	992
510	1033	989
511	1034	985
512	1035	982
513	1035	979
514	1036	976
515	1037	972
516	1037	969
517	1038	966
518	1039	963
519	1039	959
520	1040	956
521	1041	953
522	1042	950
523	1042	947
524	1043	944
525	1044	940
526	1044	937
527	1047	936
528	1047	933
529	1048	930
530	1049	927
531	1050	923
532	1051	920
533	1051	917
534	1052	914
535	1053	911
536	1054	908
537	1054	905
538	1055	902
539	1056	899
540	1057	896
541	1057	893
542	1058	891
543	1059	888
544	1060	885
545	1062	883
546	1063	880
547	1064	878
548	1065	875
549	1066	872
550	1067	870
551	1068	867
552	1069	864
553	1070	861
554	1071	858
555	1071	855
556	1072	853
557	1073	850
558	1074	847
559	1077	846
560	1079	844
561	1080	842
562	1082	840
563	1083	837
564	1084	834
565	1085	832
566	1085	829
567	1086	826
568	1087	823
569	1088	820
570	1088	818
571	1091	817
572	1094	815
573	1095	813
574	1096	810
575	1097	807
576	1098	805
577	1099	802
578	1101	800
579	1102	798
580	1105	797
581	1108	796
582	1109	793
583	1110	790
584	1111	788
585	1112	785
586	1114	784
587	1116	782
588	1124	784
589	1125	781
590	1126	779
591	1126	776
592	1127	774
593	1128	771
594	1129	768
595	1130	765
596	1130	763
597	1131	760
598	1133	759
599	1135	757
600	1138	755
601	1139	753
602	1139	750
603	1140	747
604	1142	745
605	1143	743
606	1144	740
607	1150	741
608	1153	740
609	1154	738
610	1155	735
611	1156	733
612	1157	730
613	1158	728
614	1159	726
615	1160	723
616	1161	721
617	1164	719
618	1166	717
619	1166	715
620	1167	712
621	1168	710
622	1169	707
623	1170	705
624	1170	702
625	1171	699
626	1172	697
627	1172	694
628	1173	692
629	1176	691
630	1179	689
631	1180	687
632	1181	685
633	1182	682
634	1183	680
635	1184	677
636	1185	675
637	1185	672
638	1186	670
639	1187	667
640	1187	665
641	1188	662
642	1191	661
643	1193	659
644	1193	657
645	1194	654
646	1195	652
647	1195	649
648	1196	647
649	1197	644
650	1199	643
651	1200	640
652	1201	638
653	1201	635
654	1202	633
655	1204	631
656	1206	630
657	1207	627
658	1208	625
659	1209	622
660	1209	620
661	1210	618
662	1211	615
663	1211	613
664	1212	610
665	1213	608
666	1214	606
667	1214	603
668	1215	601
669	1216	598
670	1216	596
671	1217	594
672	1220	592
673	1221	590
674	1222	588
675	1223	586
676	1223	583
677	1224	581
678	1227	580
679	1229	578
680	1230	576
681	1233	574
682	1235	573
683	1239	572
684	1243	571
685	1244	569
686	1246	567
687	1247	565
688	1247	563
689	1248	560
690	1249	558
691	1250	556
692	1250	554
693	1251	551
694	1254	550
695	1256	548
696	1256	546
697	1257	544
698	1258	541
699	1258	539
700	1259	537
701	1260	534
702	1260	532
703	1261	530
704	1262	528
705	1262	525
706	1263	523
707	1264	521
708	1265	519
709	1266	517
710	1267	515
711	1269	513
712	1271	511
713	1271	509
714	1272	507
715	1273	505
716	1273	502
717	1274	500
718	1275	498
719	1275	496
720	1276	493
721	1277	491
722	1277	489
723	1278	487
724	1279	485
725	1279	483
726	1280	480
727	1281	478
728	1284	477
729	1286	475
730	1287	473
731	1287	471
732	1288	469
733	1289	467
734	1290	465
735	1290	462
736	1291	460
737	1292	458
738	1293	456
739	1293	454
740	1294	452
741	1295	450
742	1295	448
743	1296	446
744	1299	444
745	1301	442
746	1301	440
747	1302	438
748	1303	436
749	1304	434
750	1305	432
751	1306	430
752	1306	428
753	1307	426
754	1308	424
755	1308	422
756	1309	420
757	1310	418
758	1310	416
759	1315	415
760	1317	413
761	1317	411
762	1318	409
763	1319	407
764	1320	405
765	1321	403
766	1321	401
767	1322	399
768	1323	397
769	1324	395
770	1324	393
771	1325	391
772	1326	389
773	1329	388
774	1331	386
775	1332	384
776	1334	382
777	1335	380
778	1335	378
779	1336	376
780	1337	374
781	1337	372
782	1338	370
783	1339	368
784	1340	367
785	1342	365
786	1346	364
787	1349	362
788	1352	361
789	1354	360
790	1355	358
791	1358	356
792	1360	355
793	1363	353
794	1364	351
795	1365	349
796	1367	348
797	1368	346
798	1369	344
799	1369	342
800	1371	340
801	1374	339
802	1378	338
803	1379	336
804	1380	334
805	1381	332
806	1383	330
807	1384	328
808	1389	327
809	1392	326
810	1393	324
811	1394	322
812	1395	320
813	1396	319
814	1397	317
815	1398	315
816	1402	314
817	1405	312
818	1407	311
819	1408	309
820	1409	307
821	1410	305
822	1411	303
823	1412	301
824	1414	300
825	1419	299
826	1421	297
827	1424	295
828	1425	294
829	1426	292
830	1428	290
831	1430	288
832	1435	287
833	1437	286
834	1438	284
835	1439	282
836	1440	280
837	1441	278
838	1443	276
839	1446	275
840	1449	273
841	1450	272
842	1451	270
843	1453	268
844	1454	266
845	1455	264
846	1456	263
847	1457	261
848	1458	259
849	1460	257
850	1462	256
851	1463	254
852	1464	252
853	1471	251
854	1472	249
855	1476	248
856	1479	246
857	1480	245
858	1481	243
859	1482	241
860	1483	239
861	1484	237
862	1485	235
863	1485	233
864	1486	232
865	1487	230
866	1488	228
867	1492	226
868	1493	225
869	1495	223
870	1495	221
871	1496	219
872	1497	217
873	1498	216
874	1499	214
875	1503	212
876	1506	211
877	1507	209
878	1508	207
879	1509	205
880	1511	204
881	1512	202
882	1513	200
883	1516	198
884	1518	197
885	1520	195
886	1521	193
887	1522	192
888	1523	190
889	1524	188
890	1526	186
891	1527	184
892	1530	183
893	1534	181
894	1535	180
895	1536	178
896	1537	176
897	1537	174
898	1538	172
899	1539	171
900	1539	169
901	1540	167
902	1541	165
903	1541	163
904	1545	162
905	1548	160
906	1549	158
907	1550	157
908	1551	155
909	1551	153
910	1552	151
911	1553	149
912	1553	148
913	1554	146
914	1555	144
915	1555	142
916	1556	140
917	1557	139
918	1559	137
919	1562	135
920	1563	134
921	1564	132
922	1564	130
923	1565	128
924	1566	127
925	1567	125
926	1568	123
927	1568	121
928	1570	119
929	1570	118
930	1571	116
931	1575	114
932	1578	113
933	1579	111
934	1581	109
935	1582	108
936	1583	106
937	1584	104
938	1585	102
939	1586	101
940	1593	99
941	1595	98
942	1596	96
943	1597	94
944	1597	93
945	1598	91
946	1599	89
947	1599	87
948	1600	86
949	1601	84
950	1603	82
951	1608	81
952	1609	79
953	1610	77
954	1611	75
955	1612	74
956	1612	72
957	1613	70
958	1614	69
959	1614	67
960	1615	65
961	1620	64
962	1622	62
963	1623	60
964	1623	58
965	1624	57
966	1625	55
967	1625	53
968	1626	52
969	1627	50
970	1627	48
971	1628	46
972	1629	45
973	1629	43
974	1630	41
975	1637	40
976	1638	38
977	1639	36
978	1640	35
979	1641	33
980	1642	31
981	1643	30
982	1644	28
983	1644	26
984	1645	25
985	1646	23
986	1649	21
987	1651	20
988	1652	18
989	1653	16
990	1653	15
991	1654	13
992	1655	11
993	1656	9
994	1656	8
995	1657	6
996	1658	4
997	1658	3
998	1659	1
999	1660	0
